"Freq [GHz]","re(S(1 2)) []","im(S(1 2)) []"
8.0034,-0.946527226327696,-0.13972903325622
8.0035,-0.946538026001919,-0.13939412350859
8.0036,-0.946548532892859,-0.139058180231859
8.0037,-0.94655874360878,-0.138721191164987
8.0038,-0.9465686546967,-0.138383143851464
8.0039,-0.946578262641022,-0.138044025635418
8.004,-0.946587563862122,-0.137703823657606
8.0041,-0.946596554714912,-0.137362524851338
8.0042,-0.946605231487353,-0.137020115938242
8.0043,-0.946613590398931,-0.136676583424052
8.0044,-0.946621627599089,-0.136331913594121
8.0045,-0.946629339165628,-0.135986092508959
8.0046,-0.946636721103047,-0.135639105999614
8.0047,-0.946643769340852,-0.135290939662939
8.0048,-0.94665047973181,-0.134941578856734
8.0049,-0.946656848050154,-0.134591008694781
8.005,-0.946662869989746,-0.134239214041749
8.0051,-0.946668541162182,-0.133886179507992
8.0052,-0.946673857094844,-0.133531889444159
8.0053,-0.9466788132289,-0.133176327935727
8.0054,-0.946683404917242,-0.132819478797367
8.0055,-0.946687627422378,-0.132461325567179
8.0056,-0.94669147591424,-0.132101851500765
8.0057,-0.946694945467962,-0.131741039565145
8.0058,-0.946698031061561,-0.131378872432534
8.0059,-0.94670072757357,-0.131015332473988
8.006,-0.946703029780601,-0.130650401752764
8.0061,-0.946704932354832,-0.130284062017661
8.0062,-0.946706429861416,-0.129916294696082
8.0063,-0.946707516755826,-0.129547080886941
8.0064,-0.946708187381112,-0.129176401353401
8.0065,-0.946708435965079,-0.128804236515369
8.0066,-0.946708256617376,-0.128430566441874
8.0067,-0.946707643326511,-0.128055370843139
8.0068,-0.946706589956755,-0.127678629062506
8.0069,-0.946705090244975,-0.127300320068124
8.007,-0.946703137797347,-0.126920422444423
8.0071,-0.946700726085993,-0.126538914383318
8.0072,-0.946697848445495,-0.126155773675208
8.0073,-0.946694498069301,-0.125770977699704
8.0074,-0.946690668006043,-0.125384503416144
8.0075,-0.946686351155709,-0.124996327353754
8.0076,-0.946681540265717,-0.124606425601609
8.0077,-0.94667622792685,-0.124214773798305
8.0078,-0.946670406569079,-0.123821347121314
8.0079,-0.946664068457233,-0.123426120276045
8.008,-0.946657205686552,-0.123029067484581
8.0081,-0.946649810178075,-0.122630162474125
8.0082,-0.946641873673897,-0.122229378465106
8.0083,-0.94663338773226,-0.121826688158878
8.0084,-0.946624343722493,-0.121422063725166
8.0085,-0.946614732819776,-0.121015476789064
8.0086,-0.946604545999742,-0.120606898417682
8.0087,-0.946593774032888,-0.120196299106388
8.0088,-0.94658240747881,-0.119783648764665
8.0089,-0.946570436680244,-0.119368916701534
8.009,-0.946557851756896,-0.118952071610505
8.0091,-0.946544642599073,-0.118533081554138
8.0092,-0.946530798861103,-0.118111913948081
8.0093,-0.946516309954505,-0.117688535544677
8.0094,-0.946501165040957,-0.117262912416023
8.0095,-0.946485353024994,-0.11683500993652
8.0096,-0.946468862546465,-0.116404792764901
8.0097,-0.946451681972729,-0.115972224825712
8.0098,-0.946433799390564,-0.115537269290157
8.0099,-0.946415202597803,-0.11509988855639
8.01,-0.946395879094663,-0.114660044229206
8.0101,-0.946375816074775,-0.114217697099031
8.0102,-0.946355000415884,-0.113772807120289
8.0103,-0.946333418670207,-0.113325333389043
8.0104,-0.946311057054461,-0.112875234119966
8.0105,-0.946287901439502,-0.112422466622514
8.0106,-0.946263937339608,-0.111966987276332
8.0107,-0.94623914990134,-0.11150875150591
8.0108,-0.946213523892015,-0.111047713754335
8.0109,-0.946187043687727,-0.110583827456234
8.011,-0.946159693260934,-0.110117045009767
8.0111,-0.946131456167562,-0.109647317747726
8.0112,-0.94610231553363,-0.10917459590767
8.0113,-0.946072254041359,-0.10869882860099
8.0114,-0.946041253914736,-0.108219963780979
8.0115,-0.946009296904544,-0.107737948209812
8.0116,-0.945976364272786,-0.10725272742437
8.0117,-0.945942436776506,-0.106764245700887
8.0118,-0.945907494650981,-0.106272446018377
8.0119,-0.945871517592232,-0.105777270020782
8.012,-0.94583448473885,-0.105278657977829
8.0121,-0.945796374653084,-0.104776548744387
8.0122,-0.945757165301167,-0.104270879718535
8.0123,-0.945716834032856,-0.103761586798028
8.0124,-0.945675357560104,-0.10324860433523
8.0125,-0.945632711934894,-0.102731865090401
8.0126,-0.945588872526119,-0.102211300183336
8.0127,-0.945543813995531,-0.101686839043197
8.0128,-0.945497510272646,-0.101158409356468
