"high_res [mm]","Freq [GHz]","re(S(2 1)) []","im(S(2 1)) []"
3,8.39625,-0.772816127409868,0.576909814592627
3,8.4075,-0.759717488691956,0.594070699053374
3,8.41875,-0.746262619359587,0.610902922277231
3,8.43,-0.732460015251157,0.627399990072715
3,8.44125,-0.71831826337481,0.643555620850319
3,8.4525,-0.703846037042275,0.659363745858556
3,8.46375,-0.689052091050437,0.674818509337373
3,8.475,-0.673945256910266,0.689914268591004
3,8.48625,-0.658534438122879,0.704645593982006
3,8.4975,-0.642828605502336,0.719007268848306
3,8.50875,-0.626836792544963,0.732994289344812
3,8.52,-0.610568090844838,0.746601864211165
3,8.53125,-0.594031645555272,0.759825414466998
3,8.5425,-0.577236650895929,0.772660573036124
3,8.55375,-0.560192345705469,0.785103184300834
3,8.565,-0.54290800903949,0.797149303587518
3,8.57625,-0.525392955813585,0.808795196584732
3,8.5875,-0.50765653249149,0.820037338694701
3,8.59875,-0.489708112818145,0.830872414319301
3,8.61,-0.471557093597692,0.841297316081419
3,8.62125,-0.453212890516407,0.851309143982564
3,8.6325,-0.434684934010596,0.860905204497597
3,8.64375,-0.415982665179554,0.870083009607357
3,8.655,-0.39711553174373,0.878840275769971
3,8.66625,-0.378092984048242,0.887174922831598
3,8.6775,-0.358924471112002,0.895085072877307
3,8.68875,-0.339619436722677,0.902569049022834
3,8.7,-0.320187315577799,0.909625374147884
3,8.71125,-0.300637529472377,0.916252769571692
3,8.7225,-0.280979483533362,0.922450153671516
3,8.73375,-0.261222562501408,0.928216640444761
3,8.745,-0.241376127060368,0.933551538015424
3,8.75625,-0.221449510215007,0.938454347085561
3,8.7675,-0.20145201371746,0.942924759332502
3,8.77875,-0.181392904542942,0.946962655752529
3,8.79,-0.161281411415335,0.950568104951781
3,8.80125,-0.14112672138319,0.953741361385141
3,8.8125,-0.120937976446786,0.956482863543907
3,8.82375,-0.100724270236871,0.958793232093063
3,8.835,-0.0804946447457215,0.960673267958987
3,8.84625,-0.0602580871111771,0.962123950368476
3,8.8575,-0.0400235264543339,0.963146434839992
3,8.86875,-0.0197998307715382,0.963742051128056
3,8.88,0.000404196118621651,0.963912301121765
3,8.89125,0.0205798175726598,0.963658856698424
3,8.9025,0.0407183670632177,0.962983557533336
3,8.91375,0.0608112510630784,0.9618884088668
3,8.925,0.0808499518715393,0.960375579229444
